date,canal,spend
2024-01-01,google,853.61
2024-01-01,meta,280.77
2024-01-01,linkedin,1023.13
2024-01-02,google,864.59
2024-01-02,meta,302.1
2024-01-02,linkedin,730.71
2024-01-03,google,881.99
2024-01-03,meta,775.57
2024-01-03,linkedin,1030.23
2024-01-04,google,917.46
2024-01-04,meta,762.2
2024-01-04,linkedin,1181.75
2024-01-05,google,537.65
2024-01-05,meta,372.17
2024-01-05,linkedin,869.65
2024-01-06,google,375.97
2024-01-06,meta,534.21
2024-01-06,linkedin,821.36
2024-01-07,google,820.63
2024-01-07,meta,417.08
2024-01-07,linkedin,841.64
2024-01-08,google,890.36
2024-01-08,meta,453.05
2024-01-08,linkedin,814.55
2024-01-09,google,806.91
2024-01-09,meta,349.79
2024-01-09,linkedin,393.03
2024-01-10,google,730.9
2024-01-10,meta,422.29
2024-01-10,linkedin,643.44
2024-01-11,google,909.67
2024-01-11,meta,444.72
2024-01-11,linkedin,1158.31
2024-01-12,google,316.59
2024-01-12,meta,405.79
2024-01-12,linkedin,923.65
2024-01-13,google,330.72
2024-01-13,meta,432.22
2024-01-13,linkedin,1066.57
2024-01-14,google,788.47
2024-01-14,meta,369.26
2024-01-14,linkedin,620.81
2024-01-15,google,603.66
2024-01-15,meta,638.77
2024-01-15,linkedin,436.69
2024-01-16,google,619.91
2024-01-16,meta,244.02
2024-01-16,linkedin,658.04
2024-01-17,google,377.52
2024-01-17,meta,385.42
2024-01-17,linkedin,598.34
2024-01-18,google,794.49
2024-01-18,meta,359.1
2024-01-18,linkedin,897.39
2024-01-19,google,623.96
2024-01-19,meta,682.54
2024-01-19,linkedin,589.41
2024-01-20,google,956.15
2024-01-20,meta,377.46
2024-01-20,linkedin,821.59
2024-01-21,google,695.2
2024-01-21,meta,522.9
2024-01-21,linkedin,1072.96
2024-01-22,google,321.34
2024-01-22,meta,558.36
2024-01-22,linkedin,755.7
2024-01-23,google,540.39
2024-01-23,meta,407.73
2024-01-23,linkedin,437.59
2024-01-24,google,707.98
2024-01-24,meta,270.63
2024-01-24,linkedin,1046.36
2024-01-25,google,562.36
2024-01-25,meta,563.25
2024-01-25,linkedin,370.03
2024-01-26,google,307.24
2024-01-26,meta,341.54
2024-01-26,linkedin,1001.77
2024-01-27,google,589.8
2024-01-27,meta,386.52
2024-01-27,linkedin,1064.52
2024-01-28,google,378.18
2024-01-28,meta,355.69
2024-01-28,linkedin,999.06
2024-01-29,google,259.47
2024-01-29,meta,332.19
2024-01-29,linkedin,769.2
2024-01-30,google,898.83
2024-01-30,meta,359.53
2024-01-30,linkedin,491.79
2024-01-31,google,941.94
2024-01-31,meta,514.71
2024-01-31,linkedin,356.26
2024-02-01,google,439.07
2024-02-01,meta,520.2
2024-02-01,linkedin,364.78
2024-02-02,google,738.64
2024-02-02,meta,513.49
2024-02-02,linkedin,938.75
2024-02-03,google,486.05
2024-02-03,meta,451.98
2024-02-03,linkedin,1135.32
2024-02-04,google,391.69
2024-02-04,meta,223.71
2024-02-04,linkedin,1183.99
2024-02-05,google,245.34
2024-02-05,meta,732.95
2024-02-05,linkedin,1043.38
2024-02-06,google,591.09
2024-02-06,meta,623.21
2024-02-06,linkedin,394.57
2024-02-07,google,789.84
2024-02-07,meta,670.26
2024-02-07,linkedin,346.21
2024-02-08,google,598.01
2024-02-08,meta,768.89
2024-02-08,linkedin,1156.03
2024-02-09,google,948.85
2024-02-09,meta,594.0
2024-02-09,linkedin,427.0
2024-02-10,google,537.28
2024-02-10,meta,636.16
2024-02-10,linkedin,555.45
2024-02-11,google,823.3
2024-02-11,meta,716.82
2024-02-11,linkedin,987.19
2024-02-12,google,486.31
2024-02-12,meta,644.88
2024-02-12,linkedin,365.05
2024-02-13,google,481.36
2024-02-13,meta,659.36
2024-02-13,linkedin,1015.34
2024-02-14,google,469.52
2024-02-14,meta,776.19
2024-02-14,linkedin,545.95
2024-02-15,google,715.21
2024-02-15,meta,727.38
2024-02-15,linkedin,796.26
2024-02-16,google,536.99
2024-02-16,meta,326.84
2024-02-16,linkedin,476.8
2024-02-17,google,354.42
2024-02-17,meta,465.81
2024-02-17,linkedin,793.13
2024-02-18,google,844.11
2024-02-18,meta,330.41
2024-02-18,linkedin,979.69
2024-02-19,google,739.76
2024-02-19,meta,580.71
2024-02-19,linkedin,605.41
2024-02-20,google,468.96
2024-02-20,meta,655.36
2024-02-20,linkedin,547.08
2024-02-21,google,477.4
2024-02-21,meta,779.12
2024-02-21,linkedin,1198.62
2024-02-22,google,241.23
2024-02-22,meta,612.06
2024-02-22,linkedin,781.95
2024-02-23,google,571.32
2024-02-23,meta,365.39
2024-02-23,linkedin,756.44
2024-02-24,google,568.73
2024-02-24,meta,440.79
2024-02-24,linkedin,1064.84
2024-02-25,google,434.86
2024-02-25,meta,558.49
2024-02-25,linkedin,1077.79
2024-02-26,google,944.88
2024-02-26,meta,561.65
2024-02-26,linkedin,768.03
2024-02-27,google,845.17
2024-02-27,meta,313.07
2024-02-27,linkedin,867.01
2024-02-28,google,286.21
2024-02-28,meta,596.01
2024-02-28,linkedin,1016.23
2024-02-29,google,285.37
2024-02-29,meta,709.05
2024-02-29,linkedin,411.02
2024-03-01,google,366.6
2024-03-01,meta,701.84
2024-03-01,linkedin,412.23
2024-03-02,google,725.18
2024-03-02,meta,376.89
2024-03-02,linkedin,523.53
2024-03-03,google,708.11
2024-03-03,meta,264.06
2024-03-03,linkedin,817.16
2024-03-04,google,905.66
2024-03-04,meta,710.84
2024-03-04,linkedin,1066.0
2024-03-05,google,458.1
2024-03-05,meta,620.77
2024-03-05,linkedin,1002.1
2024-03-06,google,889.01
2024-03-06,meta,358.48
2024-03-06,linkedin,984.77
2024-03-07,google,407.24
2024-03-07,meta,216.67
2024-03-07,linkedin,733.65
2024-03-08,google,791.44
2024-03-08,meta,328.62
2024-03-08,linkedin,343.74
2024-03-09,google,509.13
2024-03-09,meta,321.73
2024-03-09,linkedin,643.88
2024-03-10,google,903.0
2024-03-10,meta,646.34
2024-03-10,linkedin,635.65
2024-03-11,google,474.04
2024-03-11,meta,752.72
2024-03-11,linkedin,1099.96
2024-03-12,google,674.94
2024-03-12,meta,414.55
2024-03-12,linkedin,1013.1
2024-03-13,google,717.89
2024-03-13,meta,538.8
2024-03-13,linkedin,964.7
2024-03-14,google,336.82
2024-03-14,meta,758.09
2024-03-14,linkedin,1175.63
2024-03-15,google,495.2
2024-03-15,meta,768.08
2024-03-15,linkedin,1016.25
2024-03-16,google,917.54
