conversion_id,lead_id,converted_at,revenue
1,33554,2024-02-06,1487.74
2,9428,2024-01-21,519.2
3,200,2024-03-07,1187.7
4,12448,2024-02-22,1490.28
5,39490,2024-02-19,1456.16
6,42725,2024-01-10,980.11
7,10823,2024-03-20,844.9
8,49499,2024-01-21,519.17
9,4145,2024-03-09,1303.34
10,36959,2024-04-03,559.95
11,43107,2024-01-25,231.55
12,38696,2024-03-04,497.62
13,6189,2024-01-15,527.44
14,1415,2024-03-31,1100.25
15,18472,2024-03-21,320.75
16,29283,2024-02-08,529.95
17,15178,2024-01-20,188.75
18,34305,2024-03-05,1284.73
19,12610,2024-02-11,1109.18
20,12145,2024-02-16,701.23
21,6114,2024-02-20,690.62
22,15909,2024-01-19,316.25
23,822,2024-04-06,625.95
24,15119,2024-02-18,1367.69
25,13467,2024-01-22,276.89
26,26498,2024-03-17,1166.34
27,42112,2024-02-05,146.99
28,30189,2024-01-30,522.58
29,37238,2024-03-04,1282.65
30,33110,2024-03-24,711.88
31,36481,2024-03-24,1077.83
32,24149,2024-01-26,227.03
33,5504,2024-02-09,1050.46
34,3919,2024-02-02,1243.01
35,38479,2024-01-22,1223.45
36,21124,2024-02-21,703.2
37,49718,2024-03-05,1363.88
38,42295,2024-03-07,896.46
39,47610,2024-02-28,1241.38
40,11077,2024-01-27,383.11
41,41515,2024-03-19,378.54
42,22063,2024-03-25,1151.19
43,9414,2024-02-24,998.22
44,38341,2024-03-07,1040.36
45,30264,2024-03-14,415.93
46,41253,2024-02-07,647.46
47,14645,2024-03-13,446.9
48,26336,2024-01-13,176.74
49,28103,2024-02-25,369.6
50,17524,2024-02-24,1493.13
51,24713,2024-03-02,412.34
52,40486,2024-03-24,306.2
53,3851,2024-03-23,1069.57
54,40041,2024-02-09,935.05
55,15268,2024-03-31,1139.34
56,49147,2024-01-17,1008.22
57,30002,2024-01-18,396.65
58,45927,2024-04-05,791.29
59,43825,2024-02-17,330.83
60,17241,2024-03-25,440.02
61,4893,2024-03-13,1481.42
62,726,2024-01-31,1114.73
63,22950,2024-03-10,1191.65
64,34658,2024-04-11,122.68
65,37214,2024-03-10,622.63
66,20305,2024-03-05,868.45
67,15270,2024-01-18,292.54
68,22368,2024-03-05,1284.94
69,42685,2024-01-19,278.23
70,46735,2024-03-15,983.84
71,11733,2024-02-22,865.53
72,18620,2024-03-15,1286.02
73,48493,2024-02-03,522.77
74,26804,2024-02-20,483.4
75,44306,2024-02-11,1281.91
76,47523,2024-02-01,394.4
77,32208,2024-02-01,1139.38
78,2531,2024-02-26,351.43
79,17747,2024-02-08,1323.49
80,8271,2024-03-28,1271.47
81,15080,2024-03-15,1198.2
82,13625,2024-01-13,777.89
83,30639,2024-02-03,128.05
84,30441,2024-03-04,268.1
85,36057,2024-01-09,728.38
86,42652,2024-01-21,141.98
87,36804,2024-02-05,170.13
88,48225,2024-03-28,258.22
89,29227,2024-02-04,450.4
90,5634,2024-04-03,1144.04
91,5988,2024-03-23,148.14
92,48064,2024-02-09,1476.77
93,1813,2024-03-29,468.84
94,27579,2024-04-05,534.68
95,16824,2024-01-22,432.0
96,3929,2024-03-13,935.39
97,37287,2024-04-09,107.59
98,25046,2024-03-07,212.87
99,15728,2024-03-29,220.26
100,29601,2024-02-10,1023.64
101,10431,2024-02-04,547.92
102,25769,2024-03-02,701.24
103,29104,2024-02-15,1428.96
104,36538,2024-01-12,364.06
105,39329,2024-03-17,179.68
106,35540,2024-03-24,706.82
107,28076,2024-01-15,312.98
108,17841,2024-01-29,285.41
109,27803,2024-01-30,662.39
110,7683,2024-01-20,1030.9
111,24280,2024-01-14,424.85
112,33071,2024-03-10,1323.87
113,35558,2024-03-08,594.68
114,37190,2024-03-02,1406.35
115,47150,2024-01-14,779.2
116,46916,2024-01-05,1111.97
117,9802,2024-03-07,1285.6
118,38801,2024-02-21,832.2
119,24670,2024-03-05,1287.46
120,44234,2024-02-24,616.73
121,31920,2024-02-07,596.03
122,7135,2024-01-31,1207.57
123,33705,2024-01-31,422.6
124,29661,2024-02-20,1098.19
125,17894,2024-01-25,189.46
126,22019,2024-02-07,982.59
127,13539,2024-03-03,1417.51
128,43119,2024-01-16,728.18
129,36421,2024-02-11,670.67
130,9406,2024-03-29,847.57
131,13414,2024-03-29,1101.78
132,6721,2024-03-20,589.55
133,15602,2024-03-05,80.18
134,44744,2024-02-18,792.96
135,31139,2024-03-31,675.37
136,2730,2024-04-03,836.44
137,38243,2024-02-20,1095.74
138,29626,2024-03-08,482.42
139,47895,2024-02-17,797.47
140,42091,2024-03-23,439.81
141,36400,2024-02-03,732.27
142,6245,2024-02-24,569.25
143,5546,2024-02-19,604.04
144,4065,2024-03-01,902.69
145,12852,2024-03-29,1059.25
146,21803,2024-04-01,97.98
147,41164,2024-01-31,1324.83
148,6233,2024-02-08,597.36
149,3863,2024-02-08,993.93
150,35095,2024-02-22,253.8
151,40196,2024-02-12,891.47
152,39251,2024-03-26,1043.41
153,6218,2024-01-20,303.56
154,36776,2024-03-01,1375.26
155,42977,2024-02-13,1155.6
156,48468,2024-04-10,838.17
157,14832,2024-02-26,315.81
158,30093,2024-03-22,1309.08
159,8894,2024-02-10,177.45
160,6021,2024-03-19,243.54
161,46089,2024-03-11,1071.41
162,15243,2024-01-18,440.48
163,45308,2024-01-12,732.23
164,26551,2024-02-24,845.25
165,6035,2024-03-01,730.69
166,7906,2024-03-16,199.13
167,32226,2024-04-03,1127.21
168,6018,2024-02-02,420.79
169,21880,2024-02-28,1128.71
170,2792,2024-02-19,1308.71
171,42606,2024-02-27,841.65
172,5824,2024-02-14,1083.05
173,15388,2024-03-18,132.45
174,29562,2024-01-22,132.18
175,39476,2024-01-08,359.97
176,293,2024-02-29,588.9
177,16958,2024-03-03,339.55
178,30861,2024-02-10,981.64
179,14074,2024-03-08,473.18
180,21857,2024-02-25,1280.97
181,22080,2024-03-05,876.06
182,17024,2024-01-18,616.87
183,8740,2024-02-15,1348.17
184,15826,2024-03-27,1256.28
185,2742,2024-02-27,1244.45
186,18049,2024-02-12,1114.26
187,49937,2024-03-03,952.18
188,17373,2024-03-10,600.89
189,22022,2024-03-25,680.09
190,46365,2024-03-21,998.92
191,23538,2024-03-18,325.48
192,45500,2024-02-16,1255.5
193,40186,2024-01-07,1412.91
194,9614,2024-02-15,219.14
195,43282,2024-04-04,111.89
196,37892,2024-01-13,282.63
197,26179,2024-01-24,1159.06
198,45893,2024-01-10,233.11
199,20934,2024-02-26,608.59
200,40972,2024-02-10,169.64
201,22225,2024-03-21,694.23
202,24382,2024-02-16,937.48
203,34856,2024-01-21,972.48
204,48578,2024-01-07,816.86
205,38537,2024-02-12,1412.11
206,31756,2024-03-31,834.21
207,7754,2024-01-15,1300.12
208,46639,2024-01-18,1490.1
209,43835,2024-04-01,406.24
210,26236,2024-03-03,457.06
211,44230,2024-03-26,821.05
212,49597,2024-03-16,338.98
213,18553,2024-01-25,881.06
214,43137,2024-01-10,1051.83
215,36673,2024-03-14,165.76
216,43650,2024-04-08,1047.58
217,3941,2024-03-11,306.44
218,31497,2024-01-27,505.03
219,26594,2024-03-20,1129.11
220,23922,2024-02-03,312.3
221,26403,2024-02-20,834.99
222,45943,2024-02-25,916.63
223,48526,2024-02-03,313.39
224,18316,2024-01-30,470.19
225,36894,2024-03-07,941.18
226,26696,2024-01-04,734.9
227,42128,2024-02-13,1017.17
228,14171,2024-03-24,1293.7
229,3733,2024-03-18,271.75
230,7882,2024-03-20,180.3
231,6017,2024-02-01,1026.75
232,23030,2024-01-27,1174.31
233,35474,2024-03-06,718.02
234,49686,2024-03-20,639.35
235,4818,2024-03-17,927.42
236,41694,2024-02-29,863.06
237,12008,2024-02-26,776.04
238,41328,2024-03-09,1242.56
