lead_id,user_id,campaign_id,created_at,canal
1,100000,3,2024-02-10,linkedin
2,100001,1,2024-02-29,google
3,100002,3,2024-03-15,linkedin
4,100003,3,2024-02-15,linkedin
5,100004,1,2024-02-09,google
6,100005,1,2024-02-28,google
7,100006,3,2024-02-14,linkedin
8,100007,2,2024-02-11,meta
9,100008,3,2024-01-21,linkedin
10,100009,3,2024-01-03,linkedin
11,100010,3,2024-03-06,linkedin
12,100011,3,2024-01-11,linkedin
13,100012,1,2024-01-24,google
14,100013,3,2024-02-19,linkedin
15,100014,2,2024-03-28,meta
16,100015,1,2024-01-21,google
17,100016,2,2024-01-25,meta
18,100017,2,2024-01-04,meta
19,100018,2,2024-02-12,meta
20,100019,2,2024-02-16,meta
21,100020,1,2024-01-23,google
22,100021,1,2024-02-29,google
23,100022,2,2024-03-28,meta
24,100023,2,2024-01-21,meta
25,100024,1,2024-03-06,google
26,100025,1,2024-03-27,google
27,100026,1,2024-02-20,google
28,100027,3,2024-01-15,linkedin
29,100028,3,2024-02-27,linkedin
30,100029,3,2024-01-26,linkedin
31,100030,2,2024-03-30,meta
32,100031,3,2024-02-28,linkedin
33,100032,2,2024-03-30,meta
34,100033,2,2024-02-14,meta
35,100034,3,2024-03-06,linkedin
36,100035,2,2024-02-04,meta
37,100036,3,2024-03-04,linkedin
38,100037,3,2024-03-24,linkedin
39,100038,1,2024-03-17,google
40,100039,3,2024-01-27,linkedin
41,100040,1,2024-03-27,google
42,100041,3,2024-03-20,linkedin
43,100042,3,2024-01-31,linkedin
44,100043,1,2024-01-12,google
45,100044,1,2024-02-14,google
46,100045,3,2024-02-01,linkedin
47,100046,2,2024-02-23,meta
48,100047,1,2024-03-06,google
49,100048,2,2024-03-27,meta
50,100049,2,2024-02-01,meta
51,100050,2,2024-01-15,meta
52,100051,1,2024-02-24,google
53,100052,2,2024-02-10,meta
54,100053,1,2024-02-09,google
55,100054,2,2024-03-12,meta
56,100055,3,2024-02-18,linkedin
57,100056,3,2024-03-26,linkedin
58,100057,1,2024-02-07,google
59,100058,3,2024-02-25,linkedin
60,100059,3,2024-02-03,linkedin
61,100060,2,2024-01-01,meta
62,100061,1,2024-01-10,google
63,100062,2,2024-02-09,meta
64,100063,2,2024-01-16,meta
65,100064,2,2024-03-28,meta
66,100065,2,2024-02-15,meta
67,100066,2,2024-01-24,meta
68,100067,2,2024-01-14,meta
69,100068,2,2024-03-30,meta
70,100069,1,2024-02-08,google
71,100070,3,2024-01-18,linkedin
72,100071,2,2024-03-24,meta
73,100072,2,2024-02-10,meta
74,100073,2,2024-02-25,meta
75,100074,2,2024-02-05,meta
76,100075,2,2024-01-24,meta
77,100076,2,2024-03-30,meta
78,100077,3,2024-01-29,linkedin
79,100078,3,2024-01-22,linkedin
80,100079,2,2024-01-11,meta
81,100080,3,2024-02-10,linkedin
82,100081,1,2024-02-18,google
83,100082,2,2024-01-11,meta
84,100083,1,2024-02-21,google
85,100084,1,2024-03-07,google
86,100085,2,2024-03-25,meta
87,100086,3,2024-03-15,linkedin
88,100087,1,2024-01-08,google
89,100088,2,2024-01-31,meta
90,100089,1,2024-03-14,google
91,100090,1,2024-01-06,google
92,100091,1,2024-03-21,google
93,100092,1,2024-03-11,google
94,100093,3,2024-01-13,linkedin
95,100094,1,2024-01-06,google
96,100095,1,2024-03-07,google
97,100096,1,2024-01-27,google
98,100097,3,2024-02-14,linkedin
99,100098,1,2024-01-26,google
100,100099,1,2024-01-04,google
101,100100,3,2024-02-06,linkedin
102,100101,3,2024-01-21,linkedin
103,100102,3,2024-01-28,linkedin
104,100103,1,2024-03-22,google
105,100104,3,2024-02-01,linkedin
106,100105,3,2024-02-22,linkedin
107,100106,1,2024-02-02,google
108,100107,3,2024-01-26,linkedin
109,100108,1,2024-01-17,google
110,100109,2,2024-02-25,meta
111,100110,3,2024-03-24,linkedin
112,100111,2,2024-01-30,meta
113,100112,1,2024-01-05,google
114,100113,3,2024-01-06,linkedin
115,100114,1,2024-03-02,google
116,100115,2,2024-01-10,meta
117,100116,1,2024-03-10,google
118,100117,3,2024-01-10,linkedin
119,100118,3,2024-03-25,linkedin
120,100119,2,2024-02-13,meta
121,100120,1,2024-02-25,google
122,100121,3,2024-01-04,linkedin
123,100122,2,2024-01-13,meta
124,100123,3,2024-03-14,linkedin
125,100124,3,2024-03-20,linkedin
126,100125,1,2024-01-19,google
127,100126,3,2024-03-10,linkedin
128,100127,1,2024-03-30,google
129,100128,3,2024-03-02,linkedin
130,100129,2,2024-01-09,meta
131,100130,3,2024-02-15,linkedin
132,100131,1,2024-02-25,google
133,100132,1,2024-03-14,google
134,100133,2,2024-02-09,meta
135,100134,3,2024-03-07,linkedin
136,100135,3,2024-03-23,linkedin
137,100136,2,2024-03-02,meta
138,100137,3,2024-02-15,linkedin
139,100138,3,2024-01-06,linkedin
140,100139,1,2024-01-29,google
141,100140,3,2024-01-19,linkedin
142,100141,3,2024-01-15,linkedin
143,100142,2,2024-02-26,meta
144,100143,2,2024-02-07,meta
145,100144,1,2024-01-21,google
146,100145,3,2024-02-20,linkedin
147,100146,3,2024-02-08,linkedin
148,100147,3,2024-03-27,linkedin
149,100148,1,2024-01-20,google
150,100149,1,2024-01-02,google
151,100150,2,2024-02-01,meta
152,100151,1,2024-01-04,google
153,100152,3,2024-01-07,linkedin
154,100153,3,2024-01-03,linkedin
155,100154,1,2024-01-25,google
156,100155,3,2024-01-09,linkedin
157,100156,3,2024-03-27,linkedin
158,100157,1,2024-03-27,google
159,100158,1,2024-01-26,google
160,100159,3,2024-03-04,linkedin
161,100160,3,2024-01-18,linkedin
162,100161,3,2024-03-28,linkedin
163,100162,2,2024-01-02,meta
164,100163,2,2024-01-01,meta
165,100164,2,2024-02-17,meta
166,100165,1,2024-03-20,google
167,100166,2,2024-03-03,meta
168,100167,1,2024-03-28,google
169,100168,1,2024-02-05,google
170,100169,2,2024-03-03,meta
171,100170,2,2024-03-15,meta
172,100171,2,2024-01-26,meta
173,100172,3,2024-01-06,linkedin
174,100173,2,2024-01-26,meta
175,100174,3,2024-02-12,linkedin
176,100175,1,2024-01-01,google
177,100176,3,2024-01-09,linkedin
178,100177,2,2024-01-27,meta
179,100178,1,2024-03-11,google
180,100179,1,2024-01-03,google
181,100180,1,2024-03-01,google
182,100181,3,2024-03-13,linkedin
183,100182,2,2024-01-02,meta
184,100183,1,2024-03-14,google
185,100184,1,2024-03-21,google
186,100185,1,2024-01-31,google
187,100186,3,2024-03-05,linkedin
188,100187,3,2024-01-18,linkedin
189,100188,2,2024-01-06,meta
190,100189,3,2024-02-11,linkedin
191,100190,1,2024-03-08,google
192,100191,2,2024-01-04,meta
193,100192,1,2024-01-04,google
194,100193,1,2024-03-05,google
195,100194,3,2024-02-10,linkedin
196,100195,2,2024-02-12,meta
197,100196,3,2024-02-24,linkedin
198,100197,3,2024-01-19,linkedin
199,100198,2,2024-01-21,meta
200,100199,1,2024-02-27,google
201,100200,1,2024-01-30,google
202,100201,2,2024-01-07,meta
203,100202,1,2024-03-09,google
204,100203,2,2024-03-04,meta
205,100204,2,2024-01-02,meta
206,100205,3,2024-03-07,linkedin
207,100206,2,2024-03-19,meta
208,100207,3,2024-03-14,linkedin
209,100208,1,2024-01-09,google
210,100209,1,2024-01-23,google
211,100210,1,2024-01-14,google
212,100211,1,2024-02-23,google
213,100212,3,2024-02-14,linkedin
214,100213,1,2024-01-16,google
215,100214,2,2024-03-24,meta
216,100215,2,2024-03-12,meta
217,100216,2,2024-02-26,meta
218,100217,3,2024-01-08,linkedin
219,100218,1,2024-01-25,google
220,100219,1,2024-02-10,google
221,100220,1,2024-03-02,google
222,100221,3,2024-03-17,linkedin
223,100222,2,2024-01-18,meta
224,100223,2,2024-02-19,meta
225,100224,1,2024-02-10,google
226,100225,2,2024-02-03,meta
227,100226,2,2024-03-21,meta
228,100227,3,2024-01-12,linkedin
229,100228,3,2024-03-20,linkedin
230,100229,3,2024-03-17,linkedin
231,100230,3,2024-03-15,linkedin
232,100231,1,2024-03-18,google
233,100232,3,2024-02-11,linkedin
234,100233,2,2024-02-24,meta
235,100234,1,2024-02-28,google
236,100235,2,2024-02-20,meta
237,100236,2,2024-03-28,meta
238,100237,2,2024-02-22,meta
239,100238,3,2024-03-21,linkedin
240,100239,3,2024-01-09,linkedin
241,100240,1,2024-01-03,google
242,100241,1,2024-01-08,google
243,100242,3,2024-03-22,linkedin
244,100243,2,2024-02-28,meta
245,100244,1,2024-01-30,google
246,100245,3,2024-03-07,linkedin
247,100246,3,2024-02-24,linkedin
248,100247,3,2024-02-03,linkedin
249,100248,2,2024-02-12,meta
250,100249,3,2024-01-28,linkedin
251,100250,3,2024-02-06,linkedin
252,100251,3,2024-03-29,linkedin
253,100252,3,2024-01-30,linkedin
254,100253,1,2024-03-11,google
255,100254,1,2024-03-02,google
256,100255,3,2024-01-29,linkedin
257,100256,2,2024-01-02,meta
258,100257,1,2024-03-30,google
259,100258,3,2024-02-26,linkedin
260,100259,1,2024-02-26,google
261,100260,1,2024-02-11,google
262,100261,2,2024-02-18,meta
263,100262,3,2024-02-26,linkedin
264,100263,3,2024-03-11,linkedin
265,100264,2,2024-01-18,meta
266,100265,2,2024-03-10,meta
267,100266,3,2024-01-27,linkedin
268,100267,3,2024-02-23,linkedin
269,100268,2,2024-01-24,meta
270,100269,1,2024-02-03,google
271,100270,1,2024-01-22,google
272,100271,2,2024-03-28,meta
273,100272,1,2024-03-03,google
274,100273,2,2024-02-05,meta
275,100274,1,2024-03-24,google
